miner_with_layout
-------------------------------------
Wed Jul  2 10:37:18 2014    statsfile

         68392167 function calls (67604268 primitive calls) in 74.971 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2539    0.004    0.000    0.051    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:281(extend)
  3249379    0.909    0.000    0.909    0.000 {min}
    52348    0.074    0.000    0.074    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.005    0.005 /Library/Python/2.7/site-packages/pdfminer/cmapdb.py:292(run)
      248    0.000    0.000    0.001    0.000 /Library/Python/2.7/site-packages/pdfminer/pdftypes.py:109(int_value)
      788    0.001    0.000    0.002    0.000 /Library/Python/2.7/site-packages/pdfminer/pdffont.py:706(to_unichr)
    19691    0.021    0.000    0.021    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:515(pop)
        1    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
  1516196    0.927    0.000    1.230    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:277(add)
     8190    0.011    0.000    0.021    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:459(_parse_wclose)
    17933    0.018    0.000    0.018    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:85(reset)
765299/234    2.158    0.000    5.447    0.023 /Library/Python/2.7/site-packages/pdfminer/converter.py:158(render)
      234    0.001    0.000    0.004    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:694(__init__)
      190    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:588(do_rg)
